Age,Gender,Weight,Height,Activity,Goal,Meal,Description,Calories,Protein,Fat,Fiber
37,Male,88,157,Very active,Maintain Weight,Breakfast,"CEREAL RTE,CRISPY BROWN RICE",388,7.1,3.5,7.300000191
37,Male,88,157,Very active,Maintain Weight,Breakfast,"PIE,VANILLA CRM,PREP FROM RECIPE",278,4.8,14.4,0.600000024
37,Male,88,157,Very active,Maintain Weight,Lunch,"KIWI FRUIT,(CHINESE GOOSEBERRIES),FRSH,RAW",61,1.14,0.52,3.0
37,Male,88,157,Very active,Maintain Weight,Lunch,"CRACKERS,SALTINES (INCL OYSTER,SODA,SOUP)",421,9.5,8.85,2.900000095
37,Male,88,157,Very active,Maintain Weight,Dinner,"CAKE,YEL,PREP FROM RECIPE WO/FRSTNG",361,5.3,14.6,0.699999988
37,Male,88,157,Very active,Maintain Weight,Dinner,"FROZEN NOVELTIES,KLONDIKE,SLIM-A-BEAR CHOC SNDWCH",212,6.21,2.43,4.800000191
45,Male,58,169,Very active,Weight Gain,Breakfast,"CHICKEN,BROILERS OR FRYERS,THIGH,MEAT & SKN,CKD,ROTISSERIE,O",233,22.93,15.7,0.0
45,Male,58,169,Very active,Weight Gain,Breakfast,"PAPA JOHN'S 14"" CHS PIZZA,THIN CRUST",295,12.29,15.66,2.299999952
45,Male,58,169,Very active,Weight Gain,Lunch,"SOUP,TURKEY VEG,CND,COND",60,2.52,2.47,0.5
45,Male,58,169,Very active,Weight Gain,Lunch,"SALAD DRSNG,FRENCH DRSNG,RED CAL",200,0.4,13.0,0.0
45,Male,58,169,Very active,Weight Gain,Dinner,"CEREALS RTE,KRAFT,POST GREAT GRAINS RAISIN,DATE&PECAN CRL",377,8.0,8.4,7.400000095
45,Male,58,169,Very active,Weight Gain,Dinner,"MCDONALD'S,HOT MUSTARD SAU",190,2.6,7.31,5.0
43,Male,52,169,Lightly active,Weight Gain,Breakfast,"SWEET POTATO,CKD,CANDIED,HOME-PREPARED",144,0.87,3.25,2.400000095
43,Male,52,169,Lightly active,Weight Gain,Breakfast,"PORK,CURED,HAM,RUMP,BONE-IN,LN & FAT,HTD,RSTD",177,23.95,8.88,0.0
43,Male,52,169,Lightly active,Weight Gain,Lunch,"CEREALS RTE,QUAKER,QUAKER TSTD OATMEAL CRL,HONEY NUT",384,9.01,4.07,5.5
43,Male,52,169,Lightly active,Weight Gain,Lunch,"SPAGHETTI,SPINACH,DRY",372,13.35,1.57,10.60000038
43,Male,52,169,Lightly active,Weight Gain,Dinner,"PIE,CHOC CREME,COMMLY PREP",304,2.6,19.4,2.0
43,Male,52,169,Lightly active,Weight Gain,Dinner,"CAMPBELL'S CHUNKY SOUPS,ROADHOUSE - BF BEAN CHILI",95,6.12,3.27,3.299999952
35,Female,71,154,Lightly active,Fat Loss,Breakfast,HONEY LOAF  PORK  BF,125,11.12,4.47,0.800000012
35,Female,71,154,Lightly active,Fat Loss,Breakfast,"CAMPBELL'S SEL MCRWVABLE BOWLS,SVRY CHK & LONG GRN RICE SOUP",38,2.86,0.2,0.400000006
35,Female,71,154,Lightly active,Fat Loss,Lunch,"SQUASH,SMMR,ALL VAR,CKD,BLD,DRND,W/SALT",20,0.91,0.31,1.399999976
35,Female,71,154,Lightly active,Fat Loss,Lunch,"SOUP,SHARK FIN,REST-PREP",46,3.2,2.0,0.0
35,Female,71,154,Lightly active,Fat Loss,Dinner,"ARCHWAY Home Style Cookies, Dutch Cocoa",431,4.5,14.99,2.599999905
35,Female,71,154,Lightly active,Fat Loss,Dinner,"MAYONNAISE,RED-CAL OR DIET,CHOL-FREE",333,0.9,33.3,0.0
40,Female,72,150,Sedentary,Fat Loss,Breakfast,"CEREALS RTE,KRAFT,POST RAISIN BRAN CRL",317,9.33,2.5,12.10000038
40,Female,72,150,Sedentary,Fat Loss,Breakfast,"TURKEY,ALL CLASSES,MEAT&SKN,RAW",160,20.42,8.02,0.0
40,Female,72,150,Sedentary,Fat Loss,Lunch,"TURKEY,ALL CLASSES,LT MEAT,MEAT&SKN,CKD,RSTD",197,28.57,8.33,0.0
40,Female,72,150,Sedentary,Fat Loss,Lunch,STOUFF LN CUISIN CHK ENCH SUIZA W/CRM SAU & MEXI-STYL RICE,105,4.16,1.61,1.299999952
40,Female,72,150,Sedentary,Fat Loss,Dinner,"SHARK,MIXED SPECIES,RAW",130,20.98,4.51,0.0
40,Female,72,150,Sedentary,Fat Loss,Dinner,"KALE,FROZEN,UNPREPARED",28,2.66,0.46,2.0
27,Female,49,180,Very active,Weight Gain,Breakfast,OSCAR MAYER  HAM & CHEESE LOAF,234,13.85,18.2,0.0
27,Female,49,180,Very active,Weight Gain,Breakfast,"MACARONI,VEG,CKD,ENR",128,4.53,0.11,4.300000191
